# wavelength,intensity
3.543378896167430412e+02,1.717000000000000000e+03
3.551244234113759148e+02,1.720000000000000000e+03
3.559108824007525982e+02,1.725000000000000000e+03
3.566972665774345614e+02,1.722000000000000000e+03
3.574835759339833885e+02,1.724000000000000000e+03
3.582698104629605496e+02,1.724000000000000000e+03
3.590559701569275717e+02,1.727000000000000000e+03
3.598420550084459251e+02,1.721000000000000000e+03
3.606280650100771368e+02,1.728000000000000000e+03
3.614140001543827339e+02,1.726000000000000000e+03
3.621998604339242434e+02,1.731000000000000000e+03
3.629856458412631355e+02,1.720000000000000000e+03
3.637713563689609373e+02,1.723000000000000000e+03
3.645569920095791758e+02,1.722000000000000000e+03
3.653425527556793782e+02,1.721000000000000000e+03
3.661280385998230145e+02,1.725000000000000000e+03
3.669134495345715550e+02,1.727000000000000000e+03
3.676987855524865836e+02,1.724000000000000000e+03
3.684840466461296273e+02,1.726000000000000000e+03
3.692692328080621564e+02,1.727000000000000000e+03
3.700543440308456411e+02,1.726000000000000000e+03
3.708393803070416652e+02,1.724000000000000000e+03
3.716243416292116990e+02,1.727000000000000000e+03
3.724092279899172695e+02,1.725000000000000000e+03
3.731940393817199038e+02,1.730000000000000000e+03
3.739787757971810720e+02,1.727000000000000000e+03
3.747634372288623013e+02,1.725000000000000000e+03
3.755480236693251186e+02,1.728000000000000000e+03
3.763325351111309942e+02,1.724000000000000000e+03
3.771169715468415120e+02,1.725000000000000000e+03
3.779013329690180854e+02,1.727000000000000000e+03
3.786856193702223550e+02,1.727000000000000000e+03
3.794698307430156774e+02,1.728000000000000000e+03
3.802539670799596934e+02,1.729000000000000000e+03
3.810380283736158162e+02,1.727000000000000000e+03
3.818220146165456299e+02,1.728000000000000000e+03
3.826059258013106046e+02,1.727000000000000000e+03
3.833897619204722673e+02,1.730000000000000000e+03
3.841735229665921452e+02,1.727000000000000000e+03
3.849572089322317083e+02,1.728000000000000000e+03
3.857408198099524839e+02,1.728000000000000000e+03
3.865243555923159988e+02,1.727000000000000000e+03
3.873078162718837234e+02,1.723000000000000000e+03
3.880912018412172415e+02,1.725000000000000000e+03
3.888745122928779665e+02,1.730000000000000000e+03
3.896577476194274823e+02,1.730000000000000000e+03
3.904409078134273159e+02,1.731000000000000000e+03
3.912239928674389375e+02,1.725000000000000000e+03
3.920070027740238174e+02,1.730000000000000000e+03
3.927899375257435395e+02,1.727000000000000000e+03
3.935727971151595739e+02,1.731000000000000000e+03
3.943555815348334477e+02,1.736000000000000000e+03
3.951382907773266879e+02,1.732000000000000000e+03
3.959209248352007648e+02,1.732000000000000000e+03
3.967034837010172055e+02,1.732000000000000000e+03
3.974859673673375369e+02,1.735000000000000000e+03
3.982683758267232861e+02,1.735000000000000000e+03
3.990507090717358665e+02,1.732000000000000000e+03
3.998329670949369188e+02,1.733000000000000000e+03
4.006151498888878564e+02,1.738000000000000000e+03
4.013972574461502631e+02,1.734000000000000000e+03
4.021792897592856093e+02,1.736000000000000000e+03
4.029612468208553651e+02,1.739000000000000000e+03
4.037431286234211143e+02,1.737000000000000000e+03
4.045249351595443841e+02,1.737000000000000000e+03
4.053066664217865878e+02,1.741000000000000000e+03
4.060883224027093092e+02,1.738000000000000000e+03
4.068699030948740187e+02,1.743000000000000000e+03
4.076514084908423001e+02,1.745000000000000000e+03
4.084328385831755668e+02,1.741000000000000000e+03
4.092141933644354026e+02,1.745000000000000000e+03
4.099954728271832778e+02,1.748000000000000000e+03
4.107766769639806625e+02,1.747000000000000000e+03
4.115578057673891976e+02,1.747000000000000000e+03
4.123388592299702964e+02,1.755000000000000000e+03
4.131198373442854859e+02,1.761000000000000000e+03
4.139007401028962931e+02,1.759000000000000000e+03
4.146815674983641884e+02,1.769000000000000000e+03
4.154623195232507555e+02,1.774000000000000000e+03
4.162429961701174079e+02,1.771000000000000000e+03
4.170235974315257863e+02,1.781000000000000000e+03
4.178041233000372472e+02,1.784000000000000000e+03
4.185845737682134313e+02,1.784000000000000000e+03
4.193649488286158089e+02,1.793000000000000000e+03
4.201452484738058502e+02,1.813000000000000000e+03
4.209254726963450821e+02,1.818000000000000000e+03
4.217056214887950318e+02,1.825000000000000000e+03
4.224856948437172264e+02,1.828000000000000000e+03
4.232656927536731359e+02,1.845000000000000000e+03
4.240456152112243444e+02,1.855000000000000000e+03
4.248254622089322652e+02,1.875000000000000000e+03
4.256052337393584821e+02,1.879000000000000000e+03
4.263849297950644655e+02,1.904000000000000000e+03
4.271645503686117422e+02,1.927000000000000000e+03
4.279440954525617826e+02,1.945000000000000000e+03
4.287235650394761706e+02,1.974000000000000000e+03
4.295029591219164331e+02,2.001000000000000000e+03
4.302822776924439836e+02,2.038000000000000000e+03
4.310615207436203491e+02,2.062000000000000000e+03
4.318406882680071135e+02,2.102000000000000000e+03
4.326197802581656902e+02,2.143000000000000000e+03
4.333987967066577198e+02,2.178000000000000000e+03
4.341777376060446159e+02,2.245000000000000000e+03
4.349566029488879053e+02,2.289000000000000000e+03
4.357353927277490584e+02,2.347000000000000000e+03
4.365141069351896590e+02,2.429000000000000000e+03
4.372927455637712342e+02,2.495000000000000000e+03
4.380713086060551973e+02,2.608000000000000000e+03
4.388497960546031891e+02,2.694000000000000000e+03
4.396282079019765661e+02,2.805000000000000000e+03
4.404065441407369690e+02,2.932000000000000000e+03
4.411848047634458112e+02,3.072000000000000000e+03
4.419629897626646766e+02,3.177000000000000000e+03
4.427410991309550923e+02,3.305000000000000000e+03
4.435191328608784715e+02,3.446000000000000000e+03
4.442970909449963983e+02,3.630000000000000000e+03
4.450749733758703428e+02,3.705000000000000000e+03
4.458527801460618889e+02,3.789000000000000000e+03
4.466305112481324500e+02,3.844000000000000000e+03
4.474081666746436099e+02,3.891000000000000000e+03
4.481857464181568389e+02,3.904000000000000000e+03
4.489632504712336640e+02,3.909000000000000000e+03
4.497406788264356123e+02,3.818000000000000000e+03
4.505180314763241540e+02,3.781000000000000000e+03
4.512953084134608730e+02,3.693000000000000000e+03
4.520725096304071826e+02,3.596000000000000000e+03
4.528496351197246099e+02,3.489000000000000000e+03
4.536266848739747388e+02,3.389000000000000000e+03
4.544036588857190395e+02,3.323000000000000000e+03
4.551805571475190391e+02,3.217000000000000000e+03
4.559573796519362077e+02,3.125000000000000000e+03
4.567341263915320724e+02,3.061000000000000000e+03
4.575107973588681602e+02,3.009000000000000000e+03
4.582873925465059983e+02,2.990000000000000000e+03
4.590639119470070568e+02,2.947000000000000000e+03
4.598403555529328059e+02,2.917000000000000000e+03
4.606167233568448864e+02,2.884000000000000000e+03
4.613930153513047117e+02,2.863000000000000000e+03
4.621692315288738087e+02,2.875000000000000000e+03
4.629453718821137045e+02,2.807000000000000000e+03
4.637214364035858694e+02,2.747000000000000000e+03
4.644974250858518872e+02,2.768000000000000000e+03
4.652733379214732281e+02,2.715000000000000000e+03
4.660491749030113624e+02,2.684000000000000000e+03
4.668249360230278739e+02,2.629000000000000000e+03
4.676006212740842329e+02,2.600000000000000000e+03
4.683762306487419664e+02,2.559000000000000000e+03
4.691517641395625446e+02,2.524000000000000000e+03
4.699272217391075515e+02,2.500000000000000000e+03
4.707026034399384571e+02,2.458000000000000000e+03
4.714779092346167317e+02,2.458000000000000000e+03
4.722531391157039593e+02,2.431000000000000000e+03
4.730282930757616100e+02,2.424000000000000000e+03
4.738033711073512109e+02,2.422000000000000000e+03
4.745783732030342321e+02,2.415000000000000000e+03
4.753532993553722577e+02,2.409000000000000000e+03
4.761281495569267008e+02,2.421000000000000000e+03
4.769029238002592024e+02,2.422000000000000000e+03
4.776776220779311188e+02,2.437000000000000000e+03
4.784522443825040909e+02,2.447000000000000000e+03
4.792267907065395889e+02,2.447000000000000000e+03
4.800012610425990829e+02,2.465000000000000000e+03
4.807756553832441568e+02,2.488000000000000000e+03
4.815499737210362809e+02,2.496000000000000000e+03
4.823242160485369254e+02,2.500000000000000000e+03
4.830983823583076742e+02,2.530000000000000000e+03
4.838724726429099974e+02,2.533000000000000000e+03
4.846464868949053653e+02,2.566000000000000000e+03
4.854204251068554186e+02,2.603000000000000000e+03
4.861942872713215138e+02,2.599000000000000000e+03
4.869680733808652917e+02,2.619000000000000000e+03
4.877417834280481657e+02,2.639000000000000000e+03
4.885154174054317195e+02,2.684000000000000000e+03
4.892889753055774236e+02,2.686000000000000000e+03
4.900624571210468048e+02,2.740000000000000000e+03
4.908358628444013334e+02,2.760000000000000000e+03
4.916091924682025933e+02,2.806000000000000000e+03
4.923824459850120547e+02,2.845000000000000000e+03
4.931556233873911879e+02,2.879000000000000000e+03
4.939287246679015766e+02,2.926000000000000000e+03
4.947017498191046911e+02,2.929000000000000000e+03
4.954746988335620586e+02,2.964000000000000000e+03
4.962475717038351490e+02,3.025000000000000000e+03
4.970203684224855465e+02,3.038000000000000000e+03
4.977930889820747211e+02,3.073000000000000000e+03
4.985657333751641431e+02,3.114000000000000000e+03
4.993383015943153964e+02,3.149000000000000000e+03
5.001107936320899512e+02,3.180000000000000000e+03
5.008832094810493345e+02,3.225000000000000000e+03
5.016555491337550734e+02,3.248000000000000000e+03
5.024278125827685813e+02,3.298000000000000000e+03
5.031999998206514988e+02,3.315000000000000000e+03
5.039721108399652962e+02,3.381000000000000000e+03
5.047441456332714438e+02,3.401000000000000000e+03
5.055161041931314685e+02,3.437000000000000000e+03
5.062879865121068974e+02,3.463000000000000000e+03
5.070597925827592576e+02,3.511000000000000000e+03
5.078315223976500192e+02,3.550000000000000000e+03
5.086031759493407094e+02,3.566000000000000000e+03
5.093747532303927983e+02,3.599000000000000000e+03
5.101462542333678698e+02,3.598000000000000000e+03
5.109176789508274510e+02,3.658000000000000000e+03
5.116890273753329552e+02,3.667000000000000000e+03
5.124602994994459095e+02,3.714000000000000000e+03
5.132314953157278978e+02,3.742000000000000000e+03
5.140026148167404472e+02,3.736000000000000000e+03
5.147736579950449141e+02,3.765000000000000000e+03
5.155446248432029961e+02,3.789000000000000000e+03
5.163155153537760498e+02,3.817000000000000000e+03
5.170863295193257727e+02,3.860000000000000000e+03
5.178570673324134077e+02,3.874000000000000000e+03
5.186277287856006524e+02,3.912000000000000000e+03
5.193983138714489769e+02,3.913000000000000000e+03
5.201688225825199652e+02,3.943000000000000000e+03
5.209392549113749737e+02,3.953000000000000000e+03
5.217096108505755865e+02,3.957000000000000000e+03
